Found 55 mutants to test
ok       Unmutated baseline
MISSED   src/runtime/deterministic.rs:210:52: replace * with + in Repl::estimate_heap_usage
MISSED   src/runtime/deterministic.rs:221:35: replace / with % in Repl::estimate_stack_depth
MISSED   src/runtime/deterministic.rs:73:25: replace == with != in <impl DeterministicRepl for Repl>::execute_with_seed
MISSED   src/runtime/deterministic.rs:87:53: replace - with + in <impl DeterministicRepl for Repl>::execute_with_seed
MISSED   src/runtime/deterministic.rs:205:9: replace Repl::estimate_heap_usage -> usize with 1
MISSED   src/runtime/deterministic.rs:52:9: replace DeterministicRng::reset with ()
MISSED   src/runtime/deterministic.rs:211:49: replace * with + in Repl::estimate_heap_usage
MISSED   src/runtime/deterministic.rs:79:42: replace && with || in <impl DeterministicRepl for Repl>::execute_with_seed
MISSED   src/runtime/deterministic.rs:211:49: replace * with / in Repl::estimate_heap_usage
MISSED   src/runtime/deterministic.rs:80:54: replace - with / in <impl DeterministicRepl for Repl>::execute_with_seed
MISSED   src/runtime/deterministic.rs:221:9: replace Repl::estimate_stack_depth -> usize with 0
MISSED   src/runtime/deterministic.rs:71:18: replace == with != in <impl DeterministicRepl for Repl>::execute_with_seed
